built_age,current_energy_efficiency,environment_impact_current,energy_consumption_current,co2_emissions_current,lighting_cost_current,heating_cost_current,hot_water_cost_current
Pre-30s,23.0,34.0,635.0,7.3,109.0,3606.0,628.0
Post-30s,70.0,68.0,228.0,3.2,120.0,997.0,189.0
Pre-30s,60.0,52.0,315.0,7.7,151.0,2580.0,287.0
Pre-30s,69.0,67.0,249.0,2.9,103.0,927.0,174.0
Pre-30s,69.0,67.0,262.0,2.6,80.0,854.0,140.0
Post-30s,78.0,78.0,145.0,3.2,233.0,980.0,222.0
Pre-30s,49.0,39.0,421.0,12.0,205.0,4030.0,205.0
Pre-30s,60.0,57.0,314.0,3.9,98.0,1423.0,180.0
Post-30s,58.0,45.0,398.0,6.3,102.0,1885.0,182.0
Pre-30s,59.0,53.0,358.0,4.5,96.0,1538.0,161.0
Post-30s,79.0,79.0,136.0,2.5,147.0,719.0,201.0
Post-30s,72.0,72.0,225.0,2.2,138.0,646.0,169.0
Pre-30s,61.0,55.0,375.0,4.5,95.0,1526.0,146.0
Pre-30s,60.0,54.0,343.0,4.1,94.0,1352.0,164.0
Post-30s,73.0,71.0,238.0,3.0,109.0,967.0,136.0
Post-30s,72.0,72.0,200.0,3.3,130.0,1150.0,182.0
Pre-30s,57.0,50.0,348.0,5.2,106.0,862.0,99.0
Pre-30s,59.0,49.0,266.0,8.4,179.0,2832.0,180.0
Pre-30s,54.0,46.0,352.0,6.4,155.0,2153.0,204.0
Post-30s,70.0,68.0,198.0,3.9,178.0,1327.0,201.0
Post-30s,64.0,57.0,274.0,4.9,169.0,1544.0,212.0
Pre-30s,71.0,70.0,233.0,2.6,103.0,824.0,164.0
Pre-30s,63.0,56.0,290.0,5.9,154.0,1906.0,202.0
Post-30s,77.0,75.0,155.0,3.3,150.0,962.0,235.0
Post-30s,57.0,50.0,386.0,5.0,101.0,1657.0,172.0
Post-30s,74.0,73.0,170.0,3.3,144.0,1084.0,241.0
Post-30s,65.0,63.0,230.0,3.5,131.0,1248.0,179.0
Pre-30s,55.0,47.0,352.0,7.2,138.0,2486.0,182.0
Post-30s,64.0,59.0,292.0,4.0,124.0,1703.0,218.0
Post-30s,73.0,67.0,183.0,5.8,185.0,1797.0,264.0
Post-30s,63.0,62.0,332.0,3.2,79.0,1163.0,164.0
Pre-30s,43.0,34.0,430.0,11.6,164.0,3938.0,171.0
Pre-30s,70.0,68.0,254.0,2.5,80.0,822.0,145.0
Post-30s,68.0,66.0,303.0,3.2,83.0,1059.0,174.0
Pre-30s,70.0,64.0,211.0,5.3,157.0,1714.0,183.0
Post-30s,67.0,63.0,248.0,3.0,96.0,958.0,177.0
Post-30s,70.0,66.0,220.0,3.8,126.0,1220.0,171.0
Pre-30s,64.0,58.0,280.0,4.5,120.0,1459.0,196.0
Post-30s,68.0,62.0,208.0,4.7,148.0,1431.0,263.0
Pre-30s,64.0,57.0,282.0,4.8,123.0,1552.0,182.0
Pre-30s,71.0,77.0,176.0,2.1,110.0,860.0,187.0
Post-30s,76.0,69.0,219.0,3.2,110.0,1332.0,177.0
Pre-30s,70.0,68.0,224.0,2.5,117.0,771.0,170.0
Pre-30s,60.0,51.0,292.0,8.0,165.0,2657.0,179.0
Pre-30s,58.0,49.0,215.0,12.0,199.0,2452.0,440.0
Post-30s,53.0,46.0,430.0,5.2,106.0,1053.0,845.0
Pre-30s,41.0,36.0,394.0,23.0,437.0,8761.0,377.0
Post-30s,64.0,60.0,278.0,3.1,139.0,997.0,152.0
Pre-30s,61.0,57.0,335.0,3.4,81.0,1160.0,160.0
Pre-30s,54.0,50.0,390.0,4.9,99.0,1829.0,172.0
Pre-30s,46.0,37.0,406.0,9.3,151.0,3214.0,196.0
Pre-30s,57.0,49.0,386.0,6.7,125.0,2214.0,195.0
Post-30s,62.0,54.0,278.0,6.9,185.0,3000.0,275.0
Post-30s,79.0,75.0,135.0,5.6,211.0,1757.0,224.0
Pre-30s,55.0,51.0,248.0,8.8,158.0,2180.0,210.0
Pre-30s,66.0,62.0,263.0,3.8,155.0,1235.0,150.0
Pre-30s,58.0,52.0,378.0,4.1,86.0,1362.0,157.0
Pre-30s,73.0,60.0,152.0,8.9,183.0,2592.0,228.0
Post-30s,51.0,43.0,367.0,6.7,190.0,2190.0,198.0
Post-30s,77.0,75.0,159.0,2.8,146.0,861.0,178.0
Pre-30s,12.0,25.0,800.0,7.2,108.0,3646.0,533.0
Post-30s,58.0,49.0,286.0,6.7,208.0,2150.0,204.0
Post-30s,59.0,58.0,280.0,3.9,107.0,982.0,731.0
Post-30s,77.0,76.0,168.0,3.0,135.0,852.0,239.0
Pre-30s,54.0,46.0,386.0,5.6,126.0,1838.0,190.0
Pre-30s,73.0,70.0,183.0,3.1,201.0,843.0,177.0
Pre-30s,62.0,52.0,240.0,9.1,231.0,2937.0,258.0
Post-30s,69.0,69.0,231.0,2.7,111.0,933.0,164.0
Pre-30s,62.0,63.0,331.0,2.9,79.0,1121.0,168.0
Pre-30s,70.0,70.0,223.0,2.6,92.0,865.0,173.0
Pre-30s,57.0,47.0,317.0,8.3,276.0,2713.0,175.0
Pre-30s,56.0,50.0,399.0,4.7,121.0,1543.0,173.0
Post-30s,64.0,63.0,295.0,3.0,82.0,1042.0,188.0
Pre-30s,56.0,48.0,349.0,5.5,115.0,1875.0,185.0
Pre-30s,58.0,51.0,316.0,4.6,128.0,1519.0,187.0
Pre-30s,61.0,63.0,291.0,4.0,152.0,1681.0,195.0
Post-30s,71.0,72.0,226.0,2.3,82.0,800.0,163.0
Post-30s,72.0,73.0,196.0,2.5,117.0,851.0,183.0
Post-30s,69.0,66.0,246.0,3.1,118.0,1004.0,159.0
Post-30s,57.0,46.0,309.0,9.9,180.0,2989.0,504.0
Pre-30s,46.0,38.0,441.0,7.8,128.0,2446.0,370.0
Post-30s,76.0,75.0,184.0,2.9,124.0,868.0,193.0
Post-30s,65.0,60.0,291.0,4.4,113.0,1408.0,184.0
Pre-30s,58.0,46.0,356.0,5.6,101.0,1587.0,177.0
Post-30s,68.0,67.0,267.0,2.6,89.0,844.0,159.0
Post-30s,69.0,66.0,251.0,3.0,94.0,971.0,166.0
Post-30s,65.0,54.0,232.0,15.3,270.0,5088.0,272.0
Pre-30s,69.0,69.0,228.0,3.3,118.0,1237.0,170.0
Post-30s,66.0,61.0,236.0,3.8,140.0,1211.0,185.0
Pre-30s,68.0,62.0,266.0,5.1,134.0,1668.0,179.0
Pre-30s,60.0,51.0,286.0,7.9,257.0,2499.0,253.0
Pre-30s,52.0,42.0,367.0,8.4,204.0,2773.0,204.0
Pre-30s,62.0,57.0,338.0,3.4,82.0,1135.0,158.0
Post-30s,74.0,75.0,177.0,2.4,139.0,798.0,174.0
Pre-30s,57.0,53.0,421.0,3.4,66.0,1145.0,151.0
Post-30s,69.0,70.0,238.0,2.4,82.0,832.0,174.0
Pre-30s,62.0,57.0,299.0,3.8,137.0,1224.0,172.0
Pre-30s,58.0,52.0,363.0,4.3,104.0,1380.0,213.0
Pre-30s,64.0,57.0,247.0,4.7,134.0,1520.0,201.0
Pre-30s,59.0,52.0,408.0,5.0,96.0,1650.0,189.0
Post-30s,61.0,56.0,345.0,4.3,97.0,1414.0,169.0
Post-30s,67.0,64.0,318.0,3.8,104.0,1218.0,180.0
Post-30s,69.0,70.0,238.0,2.2,87.0,809.0,135.0
Pre-30s,52.0,43.0,400.0,6.5,120.0,2183.0,174.0
Pre-30s,21.0,33.0,608.0,8.7,113.0,4425.0,672.0
Post-30s,60.0,55.0,352.0,4.4,155.0,1409.0,166.0
Post-30s,68.0,66.0,242.0,4.2,127.0,1524.0,168.0
Pre-30s,51.0,47.0,231.0,9.1,157.0,1759.0,431.0
Post-30s,72.0,69.0,221.0,3.6,128.0,1079.0,236.0
Pre-30s,57.0,49.0,333.0,6.2,132.0,2049.0,199.0
Post-30s,78.0,75.0,154.0,3.9,237.0,1142.0,224.0
Pre-30s,59.0,58.0,331.0,3.8,115.0,1448.0,179.0
Post-30s,53.0,45.0,398.0,6.8,172.0,2226.0,196.0
Pre-30s,68.0,63.0,234.0,4.6,165.0,1468.0,186.0
Post-30s,63.0,56.0,305.0,4.9,120.0,1616.0,178.0
Pre-30s,62.0,49.0,277.0,7.3,151.0,2191.0,182.0
Post-30s,69.0,69.0,247.0,2.5,82.0,870.0,174.0
Pre-30s,49.0,41.0,427.0,9.1,156.0,3127.0,208.0
Post-30s,65.0,59.0,295.0,5.6,144.0,1876.0,183.0
Pre-30s,52.0,44.0,435.0,7.8,126.0,2585.0,204.0
Post-30s,66.0,63.0,285.0,3.6,158.0,1127.0,180.0
Post-30s,61.0,56.0,350.0,3.5,81.0,1166.0,158.0
Pre-30s,73.0,72.0,208.0,2.4,103.0,741.0,173.0
Post-30s,70.0,70.0,222.0,2.8,99.0,956.0,193.0
Pre-30s,56.0,50.0,377.0,4.5,147.0,1461.0,175.0
Post-30s,67.0,67.0,244.0,3.0,98.0,1060.0,183.0
Post-30s,72.0,71.0,229.0,2.8,103.0,910.0,144.0
Pre-30s,59.0,51.0,334.0,7.1,141.0,2415.0,202.0
Pre-30s,66.0,60.0,253.0,4.7,131.0,1532.0,170.0
Post-30s,72.0,67.0,184.0,5.5,171.0,1816.0,205.0
Post-30s,52.0,43.0,380.0,8.1,152.0,2760.0,201.0
Post-30s,77.0,77.0,145.0,3.0,148.0,943.0,243.0
Post-30s,66.0,59.0,279.0,6.7,151.0,2263.0,203.0
Pre-30s,72.0,71.0,210.0,2.2,82.0,673.0,163.0
Post-30s,70.0,69.0,214.0,2.4,90.0,759.0,172.0
Pre-30s,74.0,76.0,214.0,1.7,85.0,544.0,129.0
Pre-30s,42.0,35.0,489.0,7.7,186.0,2545.0,199.0
Pre-30s,56.0,48.0,406.0,6.4,139.0,2139.0,173.0
Post-30s,66.0,57.0,246.0,6.5,162.0,2145.0,193.0
Post-30s,75.0,74.0,165.0,2.5,114.0,749.0,193.0
Post-30s,61.0,54.0,300.0,5.0,142.0,1714.0,166.0
Post-30s,36.0,44.0,444.0,8.0,133.0,3556.0,1103.0
Post-30s,69.0,67.0,230.0,2.6,91.0,830.0,172.0
Post-30s,64.0,63.0,270.0,3.5,101.0,1259.0,164.0
Pre-30s,71.0,68.0,244.0,4.0,120.0,1240.0,208.0
Pre-30s,67.0,63.0,268.0,3.4,100.0,1101.0,181.0
Pre-30s,61.0,53.0,317.0,5.0,122.0,1656.0,144.0
Post-30s,73.0,70.0,185.0,5.5,201.0,1956.0,205.0
Pre-30s,66.0,55.0,270.0,7.6,212.0,2313.0,171.0
Post-30s,69.0,63.0,258.0,5.8,149.0,1784.0,310.0
Pre-30s,60.0,56.0,274.0,7.5,175.0,2968.0,206.0
Post-30s,64.0,58.0,256.0,4.0,133.0,1292.0,174.0
Post-30s,72.0,70.0,215.0,2.7,99.0,835.0,193.0
Pre-30s,56.0,50.0,383.0,4.5,121.0,1449.0,178.0
Pre-30s,46.0,39.0,278.0,8.3,187.0,1714.0,268.0
Post-30s,66.0,63.0,272.0,3.2,94.0,1090.0,175.0
Pre-30s,61.0,55.0,330.0,4.2,99.0,1361.0,192.0
Post-30s,70.0,68.0,211.0,2.7,133.0,830.0,182.0
Pre-30s,58.0,54.0,303.0,5.2,152.0,1858.0,197.0
Post-30s,72.0,70.0,218.0,3.4,117.0,1076.0,181.0
Pre-30s,58.0,53.0,419.0,3.3,66.0,1119.0,146.0
Pre-30s,48.0,38.0,396.0,10.0,157.0,3336.0,204.0
Post-30s,53.0,47.0,433.0,4.5,84.0,1516.0,157.0
Pre-30s,67.0,63.0,228.0,3.5,115.0,1108.0,182.0
Post-30s,66.0,63.0,253.0,3.8,113.0,1309.0,204.0
Pre-30s,74.0,74.0,231.0,2.3,81.0,733.0,162.0
Pre-30s,40.0,36.0,567.0,8.2,205.0,2641.0,409.0
Post-30s,71.0,68.0,205.0,3.9,159.0,1223.0,186.0
Post-30s,73.0,70.0,210.0,3.7,129.0,1193.0,178.0
Pre-30s,54.0,31.0,508.0,5.9,119.0,1190.0,181.0
Pre-30s,70.0,67.0,197.0,3.2,119.0,1033.0,196.0
Pre-30s,46.0,44.0,358.0,7.7,167.0,3094.0,189.0
Pre-30s,53.0,45.0,440.0,6.7,114.0,2244.0,191.0
Post-30s,77.0,76.0,157.0,3.3,150.0,1124.0,191.0
Post-30s,63.0,57.0,326.0,4.2,129.0,1356.0,185.0
Pre-30s,72.0,72.0,210.0,2.0,76.0,605.0,167.0
Pre-30s,61.0,53.0,301.0,5.8,160.0,2549.0,231.0
Post-30s,74.0,73.0,210.0,2.6,103.0,777.0,198.0
Pre-30s,60.0,52.0,351.0,5.8,122.0,1910.0,200.0
Pre-30s,57.0,49.0,362.0,5.1,108.0,1683.0,178.0
Post-30s,72.0,71.0,194.0,2.6,139.0,789.0,158.0
Post-30s,68.0,66.0,263.0,2.7,84.0,870.0,175.0
Pre-30s,64.0,60.0,280.0,3.1,88.0,994.0,168.0
Pre-30s,44.0,38.0,490.0,6.4,202.0,2041.0,221.0
Post-30s,80.0,79.0,131.0,2.7,147.0,811.0,172.0
Post-30s,51.0,43.0,414.0,7.2,197.0,2345.0,203.0
Pre-30s,53.0,43.0,367.0,10.0,165.0,3347.0,205.0
Pre-30s,61.0,54.0,339.0,5.3,116.0,1765.0,156.0
Pre-30s,39.0,46.0,457.0,4.6,92.0,2121.0,533.0
Post-30s,73.0,73.0,194.0,2.0,90.0,635.0,152.0
Pre-30s,56.0,48.0,344.0,6.1,127.0,2001.0,185.0
Post-30s,74.0,71.0,194.0,4.0,161.0,1241.0,204.0
Post-30s,73.0,72.0,182.0,2.5,130.0,743.0,186.0
Post-30s,7.0,22.0,786.0,9.7,100.0,3986.0,1557.0
Post-30s,62.0,59.0,264.0,3.6,106.0,1321.0,168.0
Post-30s,79.0,77.0,148.0,3.5,159.0,1091.0,170.0
Post-30s,63.0,58.0,304.0,3.9,100.0,1277.0,173.0
Pre-30s,56.0,44.0,362.0,5.8,118.0,1722.0,187.0
Post-30s,73.0,73.0,205.0,3.4,131.0,1187.0,197.0
Pre-30s,45.0,42.0,408.0,5.3,102.0,2003.0,159.0
Post-30s,65.0,61.0,285.0,3.5,97.0,1099.0,218.0
Pre-30s,68.0,59.0,236.0,13.0,240.0,4507.0,190.0
Pre-30s,48.0,41.0,473.0,6.4,113.0,2243.0,177.0
Pre-30s,45.0,39.0,417.0,10.0,280.0,3559.0,313.0
Post-30s,65.0,58.0,288.0,5.2,127.0,1695.0,187.0
Post-30s,67.0,67.0,262.0,2.7,84.0,995.0,138.0
Post-30s,71.0,70.0,189.0,4.5,170.0,1708.0,190.0
Post-30s,64.0,58.0,311.0,5.5,125.0,1838.0,195.0
Post-30s,76.0,75.0,185.0,3.2,123.0,982.0,184.0
Pre-30s,56.0,49.0,359.0,5.3,112.0,1750.0,190.0
Post-30s,63.0,56.0,271.0,4.1,114.0,1353.0,166.0
Post-30s,75.0,75.0,194.0,2.0,91.0,625.0,165.0
Pre-30s,10.0,17.0,799.0,17.0,303.0,8071.0,525.0
Pre-30s,67.0,61.0,236.0,5.1,145.0,1684.0,170.0
Post-30s,74.0,68.0,151.0,6.2,206.0,2001.0,256.0
Post-30s,71.0,69.0,228.0,2.8,124.0,860.0,166.0
Post-30s,68.0,65.0,259.0,3.2,106.0,986.0,189.0
Post-30s,67.0,61.0,213.0,5.0,216.0,1563.0,194.0
Pre-30s,55.0,47.0,350.0,7.6,143.0,2646.0,168.0
Pre-30s,53.0,45.0,376.0,6.5,149.0,2119.0,196.0
Post-30s,66.0,62.0,279.0,3.3,93.0,1050.0,186.0
Post-30s,40.0,59.0,232.0,7.1,168.0,2763.0,337.0
Post-30s,71.0,70.0,255.0,2.7,84.0,896.0,127.0
Pre-30s,54.0,47.0,385.0,5.4,108.0,1817.0,164.0
Pre-30s,57.0,52.0,383.0,3.8,92.0,1629.0,212.0
Pre-30s,11.0,13.0,734.0,13.0,193.0,4269.0,1099.0
Pre-30s,60.0,52.0,303.0,6.0,137.0,1971.0,190.0
Post-30s,64.0,60.0,289.0,3.9,120.0,1246.0,171.0
Post-30s,69.0,65.0,249.0,3.9,118.0,1250.0,195.0
Pre-30s,67.0,60.0,229.0,6.6,170.0,2167.0,191.0
Post-30s,66.0,59.0,243.0,6.1,175.0,1995.0,185.0
Pre-30s,55.0,46.0,342.0,6.0,172.0,1951.0,183.0
Post-30s,68.0,63.0,214.0,4.0,178.0,1265.0,176.0
Pre-30s,69.0,70.0,249.0,2.3,77.0,838.0,146.0
Post-30s,70.0,70.0,240.0,3.0,100.0,1071.0,173.0
Post-30s,75.0,71.0,172.0,4.3,156.0,1313.0,219.0
Pre-30s,23.0,18.0,599.0,19.0,291.0,6376.0,591.0
Pre-30s,55.0,49.0,391.0,5.2,101.0,1770.0,185.0
Post-30s,67.0,67.0,258.0,2.7,96.0,998.0,140.0
Post-30s,78.0,78.0,161.0,2.5,116.0,734.0,192.0
Post-30s,64.0,60.0,313.0,3.9,120.0,1272.0,168.0
Pre-30s,58.0,52.0,349.0,4.6,114.0,1501.0,174.0
Pre-30s,65.0,60.0,307.0,4.9,119.0,1609.0,194.0
Pre-30s,59.0,52.0,382.0,5.0,102.0,1692.0,142.0
Post-30s,53.0,45.0,379.0,6.3,122.0,1733.0,538.0
Post-30s,71.0,68.0,237.0,3.4,108.0,1082.0,169.0
Post-30s,66.0,65.0,261.0,3.7,109.0,1301.0,188.0
Pre-30s,6.0,20.0,821.0,9.2,92.0,4782.0,619.0
Pre-30s,57.0,47.0,291.0,7.6,160.0,2429.0,263.0
Post-30s,66.0,60.0,264.0,4.4,123.0,1419.0,196.0
Post-30s,63.0,58.0,284.0,4.3,113.0,1415.0,218.0
Post-30s,64.0,59.0,308.0,3.9,172.0,1218.0,183.0
Pre-30s,60.0,51.0,334.0,7.9,182.0,2585.0,208.0
Post-30s,68.0,62.0,241.0,4.5,160.0,1867.0,269.0
Post-30s,58.0,54.0,289.0,4.1,142.0,1485.0,174.0
Post-30s,72.0,72.0,221.0,2.3,84.0,718.0,176.0
Pre-30s,75.0,67.0,162.0,6.8,212.0,1961.0,207.0
Post-30s,67.0,63.0,262.0,3.5,102.0,1098.0,185.0
Post-30s,71.0,68.0,216.0,3.2,138.0,1024.0,158.0
Post-30s,65.0,65.0,279.0,2.9,84.0,1025.0,176.0
Pre-30s,74.0,73.0,213.0,2.8,101.0,866.0,172.0
Pre-30s,69.0,67.0,258.0,2.6,110.0,835.0,158.0
Post-30s,77.0,75.0,169.0,3.5,149.0,1067.0,217.0
Post-30s,69.0,66.0,233.0,3.5,112.0,1081.0,204.0
Pre-30s,51.0,40.0,321.0,13.0,224.0,4202.0,254.0
Post-30s,73.0,70.0,203.0,3.8,162.0,1184.0,170.0
Pre-30s,51.0,43.0,385.0,5.3,106.0,1763.0,187.0
Pre-30s,61.0,55.0,377.0,4.7,96.0,1555.0,155.0
Pre-30s,50.0,41.0,380.0,8.6,223.0,2856.0,184.0
Pre-30s,58.0,49.0,274.0,7.1,158.0,2429.0,183.0
Pre-30s,50.0,42.0,431.0,8.1,132.0,2700.0,200.0
Post-30s,73.0,70.0,194.0,3.6,136.0,1118.0,200.0
Post-30s,64.0,60.0,311.0,3.6,90.0,1224.0,165.0
Post-30s,61.0,54.0,265.0,10.0,199.0,3699.0,288.0
Post-30s,70.0,64.0,207.0,5.7,302.0,1692.0,265.0
Post-30s,69.0,66.0,235.0,3.3,106.0,1085.0,186.0
Post-30s,67.0,66.0,207.0,3.6,223.0,1188.0,180.0
Post-30s,79.0,77.0,137.0,3.4,162.0,974.0,245.0
Pre-30s,67.0,66.0,304.0,2.3,64.0,783.0,136.0
Pre-30s,47.0,40.0,458.0,6.2,204.0,2030.0,158.0
Post-30s,67.0,63.0,276.0,3.3,94.0,1064.0,167.0
Pre-30s,73.0,70.0,195.0,3.5,128.0,1065.0,199.0
Post-30s,72.0,69.0,205.0,3.4,123.0,1070.0,197.0
Pre-30s,59.0,49.0,365.0,4.8,92.0,1473.0,136.0
Pre-30s,59.0,53.0,377.0,4.9,100.0,1623.0,163.0
Post-30s,38.0,36.0,561.0,7.4,113.0,2607.0,396.0
Post-30s,64.0,62.0,259.0,3.9,136.0,1400.0,178.0
Post-30s,63.0,58.0,314.0,3.7,114.0,1200.0,174.0
Post-30s,69.0,67.0,285.0,2.7,77.0,871.0,163.0
Post-30s,88.0,88.0,88.0,1.4,121.0,685.0,152.0
Pre-30s,68.0,64.0,260.0,4.1,128.0,1262.0,220.0
Pre-30s,59.0,48.0,340.0,11.0,179.0,3420.0,396.0
Post-30s,67.0,63.0,270.0,4.0,157.0,1260.0,178.0
Post-30s,69.0,65.0,210.0,3.4,120.0,1053.0,195.0
Pre-30s,69.0,67.0,240.0,2.4,95.0,774.0,150.0
Post-30s,59.0,50.0,314.0,6.2,187.0,2016.0,200.0
Pre-30s,57.0,49.0,372.0,5.5,112.0,1828.0,181.0
Post-30s,72.0,70.0,207.0,3.0,111.0,956.0,179.0
Pre-30s,52.0,46.0,472.0,4.2,72.0,1399.0,161.0
Post-30s,59.0,52.0,354.0,4.3,106.0,1369.0,215.0
Post-30s,64.0,59.0,278.0,3.3,94.0,1106.0,134.0
Post-30s,73.0,71.0,174.0,3.0,133.0,948.0,154.0
Post-30s,80.0,76.0,124.0,7.4,239.0,2336.0,268.0
Pre-30s,58.0,52.0,316.0,4.0,161.0,1306.0,168.0
Pre-30s,54.0,44.0,334.0,10.0,190.0,3379.0,205.0
Pre-30s,55.0,48.0,407.0,5.2,100.0,1714.0,192.0
Post-30s,59.0,56.0,337.0,3.6,86.0,1332.0,161.0
Pre-30s,33.0,33.0,657.0,6.6,82.0,2181.0,594.0
Pre-30s,31.0,32.0,579.0,7.3,99.0,2421.0,712.0
Pre-30s,64.0,58.0,312.0,5.0,118.0,1629.0,183.0
Pre-30s,47.0,44.0,277.0,8.8,144.0,1997.0,245.0
Post-30s,70.0,66.0,224.0,3.9,125.0,1213.0,198.0
Post-30s,70.0,68.0,211.0,2.8,104.0,879.0,187.0
Post-30s,60.0,53.0,347.0,5.1,123.0,1649.0,195.0
Post-30s,80.0,77.0,146.0,4.9,226.0,1504.0,225.0
Pre-30s,61.0,55.0,326.0,4.1,152.0,1201.0,300.0
Pre-30s,63.0,55.0,281.0,8.5,172.0,2931.0,206.0
Post-30s,74.0,94.0,137.0,1.3,208.0,2238.0,320.0
Post-30s,66.0,62.0,241.0,3.5,111.0,1112.0,188.0
Post-30s,62.0,55.0,276.0,4.2,115.0,1370.0,191.0
Pre-30s,59.0,48.0,319.0,13.0,285.0,4233.0,199.0
Post-30s,69.0,61.0,216.0,7.2,279.0,3103.0,280.0
Post-30s,50.0,45.0,383.0,6.1,118.0,2205.0,221.0
Pre-30s,57.0,49.0,387.0,5.9,114.0,1970.0,165.0
Post-30s,87.0,86.0,88.0,1.5,130.0,634.0,198.0
Pre-30s,56.0,53.0,383.0,3.7,78.0,1355.0,163.0
Post-30s,77.0,79.0,153.0,1.8,98.0,552.0,456.0
Post-30s,75.0,75.0,182.0,2.3,141.0,658.0,208.0
Pre-30s,59.0,51.0,370.0,6.2,122.0,2050.0,195.0
Pre-30s,55.0,49.0,326.0,6.5,139.0,2430.0,187.0
Pre-30s,55.0,47.0,345.0,6.4,128.0,2169.0,187.0
Post-30s,72.0,73.0,127.0,5.6,278.0,2375.0,170.0
Post-30s,72.0,69.0,192.0,3.0,117.0,933.0,174.0
Pre-30s,66.0,62.0,279.0,3.3,94.0,1074.0,177.0
Pre-30s,53.0,43.0,361.0,8.3,147.0,2766.0,203.0
Post-30s,31.0,25.0,610.0,9.8,236.0,2735.0,704.0
Pre-30s,66.0,61.0,272.0,3.8,107.0,1218.0,189.0
Pre-30s,59.0,44.0,280.0,12.0,212.0,3539.0,206.0
Pre-30s,69.0,72.0,239.0,2.2,88.0,832.0,147.0
Pre-30s,52.0,43.0,384.0,7.1,131.0,2392.0,174.0
Post-30s,67.0,64.0,284.0,3.0,104.0,918.0,188.0
Post-30s,70.0,66.0,214.0,3.4,118.0,1079.0,183.0
Post-30s,75.0,74.0,216.0,2.9,110.0,907.0,161.0
Post-30s,76.0,76.0,176.0,2.1,97.0,684.0,137.0
Post-30s,83.0,83.0,148.0,1.9,97.0,949.0,179.0
Post-30s,77.0,75.0,167.0,3.5,149.0,1053.0,217.0
Post-30s,65.0,65.0,279.0,2.8,82.0,999.0,174.0
Post-30s,68.0,64.0,234.0,3.2,104.0,997.0,187.0
Post-30s,82.0,78.0,170.0,2.3,105.0,1032.0,184.0
Pre-30s,67.0,64.0,260.0,2.7,84.0,870.0,164.0
Pre-30s,37.0,28.0,445.0,23.0,291.0,7727.0,257.0
Pre-30s,55.0,46.0,322.0,7.9,149.0,2730.0,185.0
Pre-30s,67.0,67.0,229.0,2.5,88.0,886.0,162.0
